customer_id,platform,subscription_plan,city,age_group,primary_device,fav_genre,payment_method,tenure_months,monthly_charge_inr,avg_watch_hrs_week,num_profiles,login_failures,payment_failures,support_tickets,nps_score,churned
OTT01482,Prime Video India,Annual,Delhi,55+,Laptop,Thriller,Net Banking,42,1499.0,13.7,4,3,1,5,9.0,0
OTT00002,Netflix India,Standard,Kolkata,18-25,Mobile,Reality Shows,UPI,1,499.0,19.1,2,2,3,2,2.0,1
OTT00239,Aha,Lite,Ahmedabad,36-45,Fire Stick,Movies,Net Banking,7,79.0,3.4,5,4,3,0,1.0,0
OTT01176,Aha,Premium,Delhi,36-45,Laptop,Kids,UPI,17,499.0,22.5,2,5,1,3,7.0,0
OTT01505,ShemarooMe,Platinum,Jaipur,46-55,Smart TV,Thriller,UPI,43,199.0,3.7,2,4,4,3,7.0,0
OTT00027,Prime Video India,Quarterly,Jaipur,46-55,Smart TV,Movies,Net Banking,11,459.0,18.7,3,2,3,1,7.0,0
OTT00857,ShemarooMe,Platinum,Nagpur,46-55,Mobile,Comedy,Debit Card,25,199.0,21.8,5,6,2,4,10.0,0
OTT02888,Hotstar,Premium,Hyderabad,55+,Smart TV,Kids,Credit Card,39,499.0,2.6,3,3,4,1,1.0,0
OTT00596,Hotstar,Premium 4K,Ahmedabad,36-45,Mobile,Kids,UPI,2,899.0,9.6,4,3,4,5,4.0,1
OTT01442,Netflix India,Basic,Hyderabad,36-45,Mobile,Drama,Debit Card,4,199.0,21.1,3,0,1,4,1.0,1
OTT01840,MX Player,Free,Hyderabad,36-45,Laptop,Sports,UPI,2,0.0,7.4,3,5,2,3,10.0,1
OTT02936,Hotstar,Super,Lucknow,18-25,Mobile,Sports,Debit Card,26,299.0,7.7,2,1,3,3,8.0,0
OTT00523,JioCinema,Premium 4K,Pune,36-45,Laptop,Sports,Credit Card,14,899.0,16.9,1,6,1,0,4.0,0
OTT01262,Voot,Free,Jaipur,26-35,Mobile,Movies,Wallet,5,0.0,11.1,2,2,4,3,2.0,0
OTT01809,Zee5,Club,Surat,46-55,Fire Stick,Reality Shows,Debit Card,15,199.0,14.5,2,1,1,4,2.0,1
OTT01727,Zee5,Free,Chennai,36-45,Tablet,Movies,Debit Card,25,0.0,2.5,5,1,2,4,4.0,0
OTT02608,MX Player,MX Gold,Jaipur,26-35,Mobile,Comedy,Credit Card,47,99.0,21.7,2,4,0,0,5.0,0
OTT02198,Aha,Premium+,Surat,55+,Fire Stick,Comedy,Debit Card,2,299.0,17.6,5,2,2,2,5.0,0
OTT02421,Prime Video India,Quarterly,Pune,36-45,Tablet,Comedy,Debit Card,13,459.0,20.8,1,6,0,4,9.0,0
OTT00351,ShemarooMe,Free,Delhi,26-35,Fire Stick,Thriller,Net Banking,34,0.0,5.8,1,1,2,4,3.0,0
OTT01609,Hotstar,Mobile,Pune,46-55,Fire Stick,Comedy,UPI,22,149.0,5.3,4,5,0,4,7.0,1
OTT02519,Prime Video India,Quarterly,Mumbai,55+,Smart TV,Movies,UPI,45,459.0,4.7,1,4,1,4,5.0,0
OTT01518,ZEE5,Club & Cinema,bengaluru,46-55,Laptop,Drama,Debit Card,22,249.0,4.1,4,5,0,0,3.0,1
OTT00088,Netflix India,Standard,Surat,36-45,Smart TV,Drama,UPI,24,499.0,11.4,3,1,4,4,1.0,0
OTT01783,Voot,Voot Select,Chennai,46-55,Laptop,Sports,Debit Card,14,199.0,24.2,3,3,1,0,3.0,0
OTT00297,Netflix India,Mobile,lucknow,36-45,Laptop,Reality Shows,Credit Card,30,149.0,8.1,2,3,3,1,10.0,0
OTT01671,MX Player,MX Gold,Jaipur,18-25,Smart TV,Drama,Credit Card,11,99.0,17.0,4,6,2,3,7.0,0
OTT01212,Zee5,Free,Chennai,55+,Laptop,Comedy,UPI,13,0.0,17.2,1,3,3,0,2.0,1
OTT02736,Voot,Voot Select,Ahmedabad,36-45,Mobile,Movies,UPI,19,199.0,5.5,2,1,0,1,8.0,0
OTT02934,Netflix India,Mobile,Jaipur,55+,Fire Stick,Thriller,Wallet,23,149.0,1.7,3,2,4,1,6.0,1
OTT02106,Netflix India,Mobile,Kolkata,26-35,Laptop,Comedy,Net Banking,9,149.0,5.1,3,0,1,3,3.0,1
OTT02172,Zee5,Free,Ahmedabad,36-45,Smart TV,Movies,UPI,43,0.0,22.3,1,5,1,1,1.0,1
OTT02714,MX Player,MX Gold,Nagpur,46-55,Laptop,Comedy,Net Banking,8,99.0,6.2,3,1,0,1,5.0,0
OTT02930,MX Player,Free,Jaipur,26-35,Mobile,Kids,Net Banking,21,0.0,18.9,5,5,1,0,8.0,0
OTT01951,Hotstar,Mobile,Mumbai,18-25,Laptop,Thriller,UPI,7,149.0,22.6,2,1,0,5,5.0,0
OTT01919,Prime Video India,Quarterly,Lucknow,26-35,Laptop,Thriller,Net Banking,33,459.0,4.4,5,5,2,0,10.0,0
OTT02754,Zee5,Club,Bengaluru,18-25,Laptop,Movies,Credit Card,13,99.0,24.5,2,4,3,4,10.0,0
OTT00176,Zee5,Free,pune,55+,Tablet,Comedy,Net Banking,43,0.0,8.9,2,6,3,4,8.0,0
OTT01974,ShemarooMe,Platinum,Nagpur,18-25,Mobile,Thriller,Debit Card,15,199.0,10.9,2,0,2,5,2.0,0
OTT02695,Hotstar,Premium,Delhi,18-25,Tablet,Reality Shows,Wallet,10,499.0,3.5,5,2,0,5,0.0,0
OTT02925,Voot,Voot Select,Pune,26-35,Tablet,Thriller,Wallet,15,199.0,4.0,3,1,1,1,2.0,1
OTT02532,Voot,Voot Select,Kolkata,26-35,Mobile,Movies,Credit Card,14,199.0,3.6,1,3,4,0,0.0,1
OTT00524,Aha,Premium+,surat,55+,Fire Stick,Sports,Debit Card,37,299.0,10.0,2,6,4,4,0.0,1
OTT00321,MX Player,MX Gold,Kolkata,26-35,Mobile,Comedy,Credit Card,22,99.0,20.4,5,2,3,0,10.0,0
OTT00052,Voot,Free,ahmedabad,36-45,Smart TV,Reality Shows,Net Banking,5,0.0,11.3,4,2,4,5,5.0,0
OTT00905,Voot,Free,Kolkata,18-25,Fire Stick,Kids,Debit Card,7,0.0,2.7,5,5,4,3,0.0,1
OTT00501,MX Player,MX Gold,Bengaluru,26-35,Fire Stick,Reality Shows,Credit Card,24,199.0,4.1,4,3,0,1,7.0,0
OTT01838,Hotstar,Mobile,Chennai,55+,Laptop,Kids,UPI,16,149.0,20.4,2,4,0,0,8.0,0
OTT02949,Prime Video India,Monthly,Jaipur,55+,Mobile,Drama,Wallet,30,179.0,18.6,3,5,1,1,2.0,0
OTT01876,Netflix India,Standard,Chennai,36-45,Mobile,Movies,Wallet,22,499.0,17.2,5,4,0,2,5.0,0
OTT00465,Netflix India,Mobile,Nagpur,18-25,Smart TV,Movies,Net Banking,31,149.0,16.7,1,1,1,1,3.0,0
OTT02725,ShemarooMe,Gold,Nagpur,55+,Tablet,Drama,Debit Card,45,99.0,2.2,5,2,4,5,0.0,1
OTT02143,Netflix India,Standard,Lucknow,26-35,Mobile,Sports,Credit Card,33,499.0,20.7,5,4,3,4,10.0,0
OTT00910,Aha,Premium,Chennai,46-55,Tablet,Drama,UPI,19,499.0,10.9,1,2,1,3,2.0,1
OTT01773,Netflix India,Standard,Pune,18-25,Fire Stick,Kids,Credit Card,11,499.0,2.8,2,4,3,1,9.0,0
OTT01201,Hotstar,Premium 4K,Lucknow,55+,Mobile,Kids,Debit Card,28,899.0,11.0,5,2,4,4,5.0,0
OTT00569,SHEMAROOME,Platinum,Bengaluru,46-55,Fire Stick,Thriller,Credit Card,13,199.0,5.3,2,5,3,2,7.0,1
OTT02099,MX Player,Free,Bengaluru,55+,Mobile,Comedy,UPI,31,0.0,14.6,4,6,1,5,2.0,0
OTT01017,Netflix India,Premium,Nagpur,36-45,Smart TV,Drama,Wallet,23,499.0,6.3,5,5,1,5,10.0,0
OTT00316,Hotstar,Mobile,Ahmedabad,46-55,Tablet,Reality Shows,UPI,43,199.0,10.1,1,3,2,4,2.0,0
OTT00063,MX Player,MX Gold,Delhi,36-45,Tablet,Movies,Debit Card,29,99.0,22.3,4,6,2,3,6.0,0
